Genre,log_sales,Year,Platform
Action,0.0,1999.0,PS
Action,0.0,2012.0,X360
Action,0.0,2003.0,PS2
Action,0.3074846997479606,2012.0,3DS
Action,0.0,2001.0,PS2
Action,0.048790164169432,2008.0,PS3
Simulation,0.0,2005.0,PC
Action,0.0,2008.0,PS2
Role-Playing,0.3852624007906449,2012.0,3DS
Role-Playing,0.0,2015.0,XOne
Role-Playing,0.23111172096338664,2002.0,PS2
Action,0.0,2004.0,PS2
Action,0.8197798314933114,2016.0,3DS
Action,0.0,2008.0,DS
Simulation,0.7514160886839212,2005.0,DS
Simulation,0.4824261492442927,2007.0,DS
Action,0.12221763272424921,2014.0,WiiU
Action,0.0,2007.0,DS
Action,0.0,2012.0,X360
Action,0.009950330853168083,2008.0,PS2
Role-Playing,0.27002713721306015,2005.0,GC
Action,0.0,2003.0,PS2
Action,0.0,2004.0,PS2
Role-Playing,0.0,2001.0,PS2
Action,0.0,2007.0,DS
Role-Playing,0.5128236264286639,2011.0,PS3
Action,0.0,2009.0,PS3
Action,0.048790164169432,2009.0,PSP
Role-Playing,0.0,2015.0,XOne
Action,0.5596157879354227,2000.0,PS2
Action,0.0,2005.0,XB
Action,0.0,2007.0,Wii
Action,0.06765864847381481,2004.0,XB
Simulation,0.0,2014.0,PC
Action,0.19062035960864973,2009.0,PS3
Role-Playing,0.0,2015.0,PC
Simulation,0.0,2007.0,Wii
Action,0.0,2012.0,PS3
Role-Playing,0.76080582903376,1997.0,PS
Role-Playing,0.23901690047049992,2002.0,GBA
Simulation,0.0,1996.0,PS
Action,0.0,2009.0,DS
Role-Playing,0.7884573603642702,2001.0,PS
Action,0.009950330853168083,1999.0,PS
Action,0.2468600779315258,2000.0,PS
Action,0.0,2002.0,PS2
Action,0.0,2011.0,PS3
Action,0.009950330853168083,2003.0,XB
Action,0.6205764877251099,2012.0,PS3
Action,0.3220834991691133,2006.0,PSP
Simulation,0.0,1997.0,PS
Action,0.0,2006.0,PS2
Action,0.009950330853168083,2002.0,GC
Role-Playing,0.2546422183735807,2004.0,GBA
Role-Playing,0.2851789422336624,2015.0,3DS
Action,0.3074846997479606,2012.0,PS3
Action,0.0,2008.0,PSP
Simulation,0.0,1996.0,PS
Action,0.009950330853168083,2012.0,X360
Action,0.019802627296179712,1997.0,N64
Action,0.019802627296179712,2008.0,PS3
Role-Playing,0.0,2010.0,PC
Role-Playing,0.262364264467491,2007.0,PSP
Action,0.0,2011.0,DS
Role-Playing,0.0,2002.0,GBA
Action,0.0,2005.0,XB
Simulation,0.0,2008.0,PC
Simulation,0.0,2011.0,PS3
Action,0.0,2001.0,PS2
Action,0.08617769624105233,2007.0,PS3
Action,0.05826890812397577,2010.0,PS3
Action,0.3001045924503381,2011.0,3DS
Action,0.0,2000.0,PS
Action,0.22314355131420976,2003.0,PS2
Action,0.18232155679395465,2005.0,PS2
Role-Playing,0.5007752879124893,1998.0,PS
Simulation,0.0,2005.0,PS2
Action,0.3852624007906449,2000.0,DC
Action,0.0,2003.0,XB
Action,0.0,2005.0,GBA
Role-Playing,0.0,2005.0,PS2
Simulation,0.6312717768418579,2001.0,PS2
Simulation,0.0,2002.0,XB
Action,0.0,2011.0,3DS
Role-Playing,0.31481073984003355,2012.0,3DS
Action,0.4824261492442927,2009.0,PS3
Role-Playing,0.0,2005.0,GBA
Action,0.009950330853168083,2011.0,X360
Simulation,0.262364264467491,1996.0,N64
Role-Playing,0.2468600779315258,2013.0,PS3
Action,0.09531017980432487,2010.0,PS3
Action,0.0,2014.0,X360
Action,0.0,2004.0,XB
Action,0.039220713153281295,2015.0,PS4
Action,0.0,2007.0,PS2
Action,0.0,2005.0,XB
Role-Playing,0.7419373447293773,1995.0,PS
Role-Playing,0.5481214085096876,1999.0,PS
Action,0.0,2010.0,PS3
Action,0.15700374880966478,2015.0,3DS
Action,0.0,2012.0,PS3
Simulation,0.0,2007.0,DS
Role-Playing,0.27002713721306015,2003.0,GC
Role-Playing,0.009950330853168083,2005.0,PSP
Role-Playing,0.5423242908253617,1998.0,PS
Role-Playing,0.37156355643248307,2013.0,PS3
Action,0.0,2008.0,PSP
Simulation,0.0,2008.0,DS
Action,0.0,2007.0,PSP
Role-Playing,0.0,2003.0,GBA
Simulation,0.7275486072772778,1998.0,PS
Action,0.0,2006.0,DS
Action,0.009950330853168083,2006.0,PS2
Simulation,0.7030975114131134,1997.0,PS
Action,0.039220713153281295,2010.0,PS3
Action,0.0,2012.0,PS3
Action,0.0295588022415444,2008.0,PS3
Action,0.0,2015.0,PC
Action,0.18232155679395465,2009.0,Wii
Action,0.0,2012.0,X360
Action,0.0295588022415444,2009.0,PSP
Action,0.009950330853168083,2008.0,X360
Simulation,0.0,2008.0,DS
Simulation,0.0,2008.0,DS
Action,0.019802627296179712,2010.0,X360
Action,0.0295588022415444,2008.0,X360
Action,0.0,2011.0,Wii
Action,0.0,2011.0,X360
Action,0.009950330853168083,2010.0,X360
Action,0.048790164169432,2012.0,PS3
Action,0.0,2003.0,PS2
Action,0.0,2008.0,PS3
Role-Playing,0.0,2001.0,PC
Action,0.0,2004.0,GBA
Simulation,0.0,2007.0,PS3
Action,0.0,2014.0,X360
Action,0.0,2014.0,Wii
Role-Playing,0.6523251860396903,1996.0,PS
Action,0.0295588022415444,2012.0,PS3
Simulation,0.0,2007.0,DS
Simulation,0.5068176023684519,1998.0,PS
Role-Playing,0.31481073984003355,2012.0,DS
Action,0.0,2007.0,X360
Action,0.0,2008.0,Wii
Action,0.0,2010.0,DS
Role-Playing,0.6043159668533294,1997.0,PS
Action,0.1988508587451652,1996.0,PS
Simulation,0.0,2006.0,PS2
Action,0.0,2009.0,X360
Action,0.0,2013.0,XOne
Simulation,0.0,2010.0,DS
Action,0.0,2012.0,Wii
Action,0.0,2007.0,Wii
Action,0.0,1996.0,PC
Action,0.048790164169432,2012.0,WiiU
Simulation,0.0,2007.0,DS
Role-Playing,0.37156355643248307,2010.0,PS3
Action,0.0,1997.0,PS
Simulation,0.1988508587451652,2007.0,X360
