Genre,log_sales,Year,Platform
Action,0.48858001481867097,2012.0,X360
Action,0.3987761199573678,2008.0,PS2
Role-Playing,0.5364933705145685,2005.0,GC
Action,0.4762341789963716,2003.0,PS2
Action,0.41871033485818504,2004.0,PS2
Role-Playing,0.4762341789963716,2001.0,PS2
Action,0.7514160886839212,2007.0,DS
Role-Playing,0.2546422183735807,2011.0,PS3
Action,0.5007752879124893,2009.0,PS3
Action,0.35767444427181594,2009.0,PSP
Role-Playing,0.5068176023684519,2015.0,XOne
Action,0.2151113796169455,2000.0,PS2
Action,0.598836501088704,2005.0,XB
Action,0.4382549309311553,2007.0,Wii
Action,0.6523251860396903,2004.0,XB
Simulation,0.07696104113612832,2014.0,PC
Action,0.3646431135879093,2009.0,PS3
Role-Playing,0.4054651081081644,2015.0,PC
Simulation,0.37156355643248307,2007.0,Wii
Action,0.4054651081081644,2012.0,PS3
Role-Playing,0.0,1997.0,PS
Role-Playing,0.4762341789963716,2002.0,GBA
Simulation,0.5187937934151675,1996.0,PS
Action,0.5068176023684519,2009.0,DS
Role-Playing,0.0,2001.0,PS
Action,0.5068176023684519,1999.0,PS
Action,0.29266961396282,2000.0,PS
Action,0.4637340162321401,2002.0,PS2
Action,0.41871033485818504,2011.0,PS3
Action,0.5423242908253617,2003.0,XB
Action,0.009950330853168083,2012.0,PS3
Action,0.3220834991691133,2006.0,PSP
Simulation,0.5068176023684519,1997.0,PS
Action,0.688134638736401,2006.0,PS2
Action,0.6205764877251099,2002.0,GC
Role-Playing,0.49469624183610705,2004.0,GBA
Role-Playing,0.3784364357202451,2015.0,3DS
Action,0.3920420877760237,2012.0,PS3
Action,0.33647223662121295,2008.0,PSP
Simulation,0.5007752879124893,1996.0,PS
Action,0.4574248470388754,2012.0,X360
Action,0.5538851132264376,1997.0,N64
Action,0.35767444427181594,2008.0,PS3
Role-Playing,0.4574248470388754,2010.0,PC
Role-Playing,0.37156355643248307,2007.0,PSP
Action,0.5068176023684519,2011.0,DS
Role-Playing,0.6097655716208943,2002.0,GBA
Action,0.6043159668533294,2005.0,XB
Simulation,0.0,2008.0,PC
Simulation,0.41871033485818504,2011.0,PS3
Action,0.44468582126144574,2001.0,PS2
Action,0.4510756193602166,2007.0,PS3
Action,0.3646431135879093,2010.0,PS3
Action,0.3852624007906449,2011.0,3DS
Action,0.49469624183610705,2000.0,PS
Action,0.3646431135879093,2003.0,PS2
Action,0.5766133643039938,2005.0,PS2
Role-Playing,0.22314355131420976,1998.0,PS
Simulation,0.6678293725756554,2005.0,PS2
Action,0.3435897043900769,2000.0,DC
Action,0.5364933705145685,2003.0,XB
Action,0.598836501088704,2005.0,GBA
Role-Playing,0.0,2005.0,PS2
Simulation,0.11332868530700317,2001.0,PS2
Simulation,0.6981347220709844,2002.0,XB
Action,0.4762341789963716,2011.0,3DS
Role-Playing,0.2851789422336624,2012.0,3DS
Action,0.19062035960864973,2009.0,PS3
Role-Playing,0.5933268452777344,2005.0,GBA
Action,0.5423242908253617,2011.0,X360
Simulation,0.44468582126144574,1996.0,N64
Role-Playing,0.3074846997479606,2013.0,PS3
Action,0.4054651081081644,2010.0,PS3
Action,0.4824261492442927,2014.0,X360
Action,0.598836501088704,2004.0,XB
Action,0.2776317365982795,2015.0,PS4
Action,0.48858001481867097,2007.0,PS2
Action,0.5187937934151675,2005.0,XB
Role-Playing,0.0,1995.0,PS
Role-Playing,0.16551443847757338,1999.0,PS
Action,0.412109650826833,2010.0,PS3
Action,0.41871033485818504,2015.0,3DS
Action,0.3074846997479606,2012.0,PS3
Simulation,0.3852624007906449,2007.0,DS
Role-Playing,0.43178241642553783,2003.0,GC
Role-Playing,0.43178241642553783,2005.0,PSP
Role-Playing,0.23111172096338664,1998.0,PS
Role-Playing,0.27002713721306015,2013.0,PS3
Action,0.35767444427181594,2008.0,PSP
Simulation,0.48858001481867097,2008.0,DS
Action,0.2151113796169455,2007.0,PSP
Role-Playing,0.5766133643039938,2003.0,GBA
Simulation,0.0,1998.0,PS
Action,0.6729444732424258,2006.0,DS
Action,0.636576829071551,2006.0,PS2
